ligand_id,binding_affinity_kcal_mol,molecular_weight,logp,tpsa,docking_quality,therapeutic_area,target_name,target_pdb,ubp_nrci,ubp_energy,ubp_crv,ubp_therapeutic_potential,composite_score
NOVEL_0044,-7.022931616573356,389.48400000000004,4.671100000000003,69.62,simulated,CNS/Neurology,Serotonin Transporter,5I6X,0.9999973150014502,218376769.07009155,17.99850565558837,0.5347784728576064,0.9639891712075136
NOVEL_0077,-7.0846413844384735,505.6630000000002,2.232700000000003,130.54999999999998,simulated,Immunology,Calcineurin,1AUI,0.9999972218206288,237030944.45141757,19.782965250235687,0.5543438348638902,0.8723677422086569
NOVEL_0037,-7.864812248465587,399.5310000000002,4.032600000000002,89.62,simulated,Pain/Inflammation,Cyclooxygenase-2 (COX-2),5KIR,0.99999726264767,223021149.7034329,15.652416311721575,0.4218572711275892,0.8297824795278157
NOVEL_0048,-5.448132397626422,274.707,3.316300000000002,43.71000000000001,simulated,Pain/Inflammation,Cyclooxygenase-2 (COX-2),5KIR,0.999997543811988,197853009.1102948,17.256080207502936,0.5726706458961818,0.8257240256668885
NOVEL_0078,-6.558860087387719,485.54000000000013,-1.2757999999999998,180.51999999999998,simulated,Cardiovascular,HMG-CoA Reductase,1HWK,0.9999971744453204,253295561.1875074,17.773422857513822,0.6343979486474338,0.8163317784654428
NOVEL_0082,-8.99898877671899,399.5310000000002,4.032600000000002,89.62,simulated,Pain/Inflammation,Cyclooxygenase-2 (COX-2),5KIR,0.99999787580352,241650629.3636463,17.920202184124943,0.5267077206520816,0.8139931374263676
NOVEL_0069,-9.532610490253461,475.3280000000001,1.9583999999999995,103.81,simulated,Metabolic,DPP-4,2QT9,0.9999965066800904,224812907.2457897,19.30046701308419,0.5533551139108704,0.8118031011912721
NOVEL_0061,-6.555709590489506,485.54000000000013,-1.2757999999999998,180.51999999999998,simulated,Cardiovascular,HMG-CoA Reductase,1HWK,0.9999967183559092,236059444.97445515,16.85325476371661,0.5859188933826072,0.8035483081423824
NOVEL_0014,-7.011619254468907,267.29200000000003,1.1415999999999993,82.17,simulated,Anti-infective,DNA Gyrase,2XCT,0.9999965948160792,208188931.3464286,17.761847742581924,0.4550411214948727,0.8015301300912652
NOVEL_0010,-8.644079508665154,399.5310000000002,4.032600000000002,89.62,simulated,Pain/Inflammation,Cyclooxygenase-2 (COX-2),5KIR,0.9999970227153572,256664536.4772925,19.72189819584849,0.5097739339678281,0.7996012230268502
