chembl_id,name,therapeutic_area,ubp_energy,ubp_nrci,ubp_crv,ubp_resonance,drug_likeness_score,molecular_weight,logp,complexity,heavy_atoms,aromatic_rings,ubp_therapeutic_potential,ubp_complexity_index,candidate_id,energy_score,nrci_score,crv_score,resonance_score,composite_score
NOVEL_0044,NOVEL_0044,CNS/Neurology,218376769.07009155,0.9999973150014502,17.99850565558837,0.5347784728576064,1.0,389.55116365093977,2.2422276098915987,563.8896945282581,17,3,0.5347784728576064,1.799850565558837,NOVEL_0044,0.9840584550935565,0.9104338594300854,0.9786178437462015,0.9825435444268741,0.9639891712075136
NOVEL_0077,NOVEL_0077,Immunology,237030944.45141754,0.9999972218206287,19.782965250235687,0.5543438348638902,1.0,447.53980300783917,0.9320249339407205,512.1225714584998,26,3,0.5543438348638902,1.9782965250235687,NOVEL_0077,0.8390834667862864,0.9740263972953739,0.7880185163584601,0.9006573687965627,0.8723677422086569
NOVEL_0037,NOVEL_0037,Pain/Inflammation,223021149.70343286,0.9999972626476699,15.652416311721575,0.42185727112758925,1.0,484.74371947741577,4.433401936490238,534.8042610075426,30,3,0.42185727112758925,1.5652416311721575,NOVEL_0037,0.971908709571707,0.9461634194737499,0.770794778274564,0.5448515860961258,0.8297824795278157
NOVEL_0048,NOVEL_0048,Pain/Inflammation,197853009.11029476,0.9999975438119881,17.256080207502936,0.5726706458961818,1.0,274.61724632908636,1.6512626450954926,691.0066600394442,35,3,0.5726706458961818,1.7256080207502937,NOVEL_0048,0.7894750619341493,0.7542789493903198,0.942083195680475,0.8239548540947249,0.8257240256668885
NOVEL_0078,NOVEL_0078,Cardiovascular,253295561.1875074,0.9999971744453203,17.773422857513822,0.6343979486474338,1.0,469.90023358765194,3.1205077209091883,785.8029557231698,16,2,0.6343979486474338,1.777342285751382,NOVEL_0078,0.6848805176607314,0.9936416695763449,0.9973409114712072,0.5656098895266763,0.8163317784654428
NOVEL_0082,NOVEL_0082,Pain/Inflammation,241650629.3636463,0.99999787580352,17.920202184124943,0.5267077206520816,1.0,416.0109609638223,3.2057381644264864,924.55360002039,29,3,0.5267077206520816,1.7920202184124943,NOVEL_0082,0.7952847687256173,0.5277067458219871,0.9869814901060421,0.9836782391333755,0.8139931374263676
NOVEL_0069,NOVEL_0069,Metabolic,224812907.2457897,0.9999965066800905,19.30046701308419,0.5533551139108704,1.0,423.63184225529903,2.158297731148397,414.8222725160074,39,2,0.5533551139108704,1.930046701308419,NOVEL_0069,0.9549212636556709,0.5379160709527856,0.839554477017195,0.9047954255103786,0.8118031011912721
NOVEL_0061,NOVEL_0061,Cardiovascular,236059444.97445515,0.9999967183559091,16.85325476371661,0.5859188933826072,1.0,477.97628754844834,2.460581465397691,532.4199494690625,21,2,0.5859188933826072,1.685325476371661,NOVEL_0061,0.8482941409049777,0.682377155202872,0.8990571395732664,0.7685074608842726,0.8035483081423824
NOVEL_0014,NOVEL_0014,Anti-infective,208188931.3464286,0.9999965948160793,17.761847742581924,0.4550411214948727,1.0,268.3805487625825,2.1355389431312815,1036.2132893302437,17,1,0.4550411214948727,1.7761847742581924,NOVEL_0014,0.8874687445770155,0.5980656930547961,0.9961045656738166,0.6837347101800366,0.8015301300912652
NOVEL_0010,NOVEL_0010,Pain/Inflammation,256664536.47729254,0.9999970227153571,19.72189819584849,0.5097739339678281,1.0,418.8818535014192,3.1877873567760657,1098.491468318694,34,2,0.5097739339678281,1.9721898195848488,NOVEL_0010,0.6529396527977279,0.890091461730247,0.7945411294378844,0.9128058969774949,0.7996012230268502
